2018,CAGIVA,125,"ELEFANT 125"
2018,CAGIVA,125,"FRECCIA 125"
2018,CAGIVA,125,"K7 125"
2018,CAGIVA,125,"MITO 125"
2018,CAGIVA,125,"MITO 525"
2018,CAGIVA,125,"NUVOLA 125"
2018,CAGIVA,125,"ROADSTER 125"
2018,CAGIVA,125,"Super City 125"
2018,CAGIVA,125,"WMX 125"
2018,CAGIVA,200,"ROADSTER 200"
2018,CAGIVA,250,"ALA BLU 250"
2018,CAGIVA,250,"ALA ROSSA 250"
2018,CAGIVA,250,"ALA VERDE 250"
2018,CAGIVA,250,"SST 250"
2018,CAGIVA,250,"SSX 250"
2018,CAGIVA,250,"ST 250"
2018,CAGIVA,250,"SX 250"
2018,CAGIVA,250,"WRX 125"
2018,CAGIVA,350,"ALA AZZURRA 350"
2018,CAGIVA,350,"ALA BLU 350"
2018,CAGIVA,350,"ALA ROSSA 350"
2018,CAGIVA,350,"ALA VERDE 350"
2018,CAGIVA,350,"ELEFANT 350"
2018,CAGIVA,350,"SST 350"
2018,CAGIVA,350,"SX 350"
2018,CAGIVA,350,"T4 ER350"
2018,CAGIVA,350,"W12 350"
2018,CAGIVA,500,"River 500"
2018,CAGIVA,500,"T4 ER500"
2018,CAGIVA,500,"WMX 500"
2018,CAGIVA,600,"RIVER 600"
2018,CAGIVA,650,"ALA AZZURRA 650"
2018,CAGIVA,650,"ELEFANT 650"
2018,CAGIVA,750,"DAKAR 750"
2018,CAGIVA,900,"Elefant 900"
2018,CAGIVA,900,"GRAN CANYON 900"
2018,CAGIVA,906,"ELEFANT 906"
2018,CAGIVA,1000,"NAVIGATOR 1000"
2018,CAGIVA,1000,"RAPTOR 1000"
2018,CPI,50,BABY
2018,CPI,125,SAHEL
2018,DAELIM,50,DELFINO
2018,DAELIM,50,E-FIVE
2018,DAELIM,50,HISTORY
2018,DAELIM,50,MESSAGE
2018,DAELIM,50,S-FIVE
2018,DAELIM,50,"SE CORDI"
2018,DAELIM,50,TAPO
